iterations,learning_rate,depth,l2_leaf_reg,subsample,border_count,random_seed,eval_metric,task_type,verbose,score,trial_number
500,0.1400704826780787,6,8.490862914706872,0.8302162001684921,87,42,PRAUC,CPU,False,0.7498500317810388,0
500,0.04053615308898054,9,2.3070169278615977,0.6880421960615614,228,42,PRAUC,CPU,False,0.7480322239773869,1
500,0.12405161709668922,10,3.7052751977576093,0.578891879616371,132,42,PRAUC,CPU,False,0.8584776747197873,2
500,0.05907203339803826,5,4.324187929651012,0.8728123704508218,68,42,PRAUC,CPU,False,0.6507331877452006,3
500,0.13419546832040505,8,5.781081990531185,0.8116281598329713,118,42,PRAUC,CPU,False,0.8163020404830464,4
500,0.05011272680245681,4,3.79023253770351,0.7966095670899265,142,42,PRAUC,CPU,False,0.6037909896406407,5
500,0.13215507243721442,8,7.058381984100553,0.7551482223290632,240,42,PRAUC,CPU,False,0.8128302905283729,6
500,0.031421150723150465,5,6.546076668894202,0.6608480956038285,226,42,PRAUC,CPU,False,0.5988924695645436,7
500,0.030008275379221634,9,3.7425549842060604,0.6877637589007419,212,42,PRAUC,CPU,False,0.7147953243329701,8
500,0.059755268499701746,6,3.3168967843741832,0.6156268452487315,207,42,PRAUC,CPU,False,0.6858829121757449,9
500,0.011327348786614738,10,1.1247059249726243,0.5153745876747581,49,42,PRAUC,CPU,False,0.6715875851094112,10
500,0.25494757545405217,10,5.889143240405121,0.9960134916909832,137,42,PRAUC,CPU,False,0.8771620278005654,11
500,0.2944594430986426,10,8.844391384642691,0.9972295154356696,166,42,PRAUC,CPU,False,0.8811432488672805,12
500,0.2831749829127877,10,9.814782416159282,0.9918617243949095,177,42,PRAUC,CPU,False,0.877447963421686,13
500,0.29619565767270056,8,9.9755663588514,0.9859601341684667,184,42,PRAUC,CPU,False,0.8497389314101234,14
500,0.2220909822946615,9,9.936606762670454,0.9220101327671197,176,42,PRAUC,CPU,False,0.857325506618545,15
500,0.08940356736674547,7,8.400517732789426,0.9155909010386967,166,42,PRAUC,CPU,False,0.7467971997694771,16
500,0.19120935057241897,10,8.571459922287023,0.9450808491547558,99,42,PRAUC,CPU,False,0.8698373054017844,17
500,0.0118632988873702,9,7.57184426972368,0.8790250496514695,162,42,PRAUC,CPU,False,0.6259760268157766,18
500,0.08742114088737284,7,9.218277593361037,0.9988200803807987,251,42,PRAUC,CPU,False,0.7425563881064863,19
500,0.018629955651962116,10,7.737179650416518,0.9483426276326287,188,42,PRAUC,CPU,False,0.6924005231470628,20
500,0.2678525921547606,10,5.245699615765938,0.9955619298645652,151,42,PRAUC,CPU,False,0.8837690858303847,21
500,0.18647140533690654,9,4.965589103139015,0.878152466082359,153,42,PRAUC,CPU,False,0.8595654740110781,22
500,0.29480291124116326,10,9.191864598880551,0.9509758718918389,200,42,PRAUC,CPU,False,0.8760262713579734,23
500,0.17973259362080846,9,5.0231573172666595,0.8958361355870416,115,42,PRAUC,CPU,False,0.8596426933003032,24
500,0.09612831285488002,8,6.508739183508121,0.9545447474097243,166,42,PRAUC,CPU,False,0.7854355592691239,25
500,0.20955514904588363,10,7.720714683345543,0.8370655496907385,119,42,PRAUC,CPU,False,0.8779111771787861,26
500,0.20957160646947467,9,7.666945776333558,0.7566158441621749,113,42,PRAUC,CPU,False,0.8566990913318955,27
500,0.17130269901499404,7,6.6387092736255635,0.8524328015750604,86,42,PRAUC,CPU,False,0.8058616146993289,28
500,0.10644280584452247,8,8.55383648342066,0.8324465187145034,82,42,PRAUC,CPU,False,0.7947341056924143,29
