n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,n_jobs,score,trial_number
500,0.02475722305151925,8,0.5832881989990291,0.9339811069343538,0.007071381265271117,0.20867812708963596,hist,binary:logistic,aucpr,-1,0.8098476833041829,0
500,0.20755894845108744,8,0.9980385209603464,0.5238582478431695,0.0016473942185113355,2.636011638594771,hist,binary:logistic,aucpr,-1,0.8110167281983309,1
500,0.13856927287307425,5,0.6874547141217175,0.8828621171498047,4.216852719184915,0.6982826969970052,hist,binary:logistic,aucpr,-1,0.790236819651265,2
500,0.027476763798234292,3,0.9367627866723067,0.5751186764076938,0.28519643011031687,1.3488026877685395,hist,binary:logistic,aucpr,-1,0.5416222051260501,3
500,0.021925516147054284,4,0.7491915222361036,0.6551952268600769,0.10803860907312707,1.287975125492324,hist,binary:logistic,aucpr,-1,0.5811099754803083,4
500,0.057049211100356816,9,0.7474788740311888,0.6107124912192035,0.018169961593638966,2.491415242611356,hist,binary:logistic,aucpr,-1,0.8584581245821281,5
500,0.2706517778751897,4,0.6098087600716132,0.9149154818195482,0.1306584108756822,3.8193261586410436,hist,binary:logistic,aucpr,-1,0.7686963286612697,6
500,0.05323901801719658,10,0.8801231488482012,0.5392567131437755,1.9106462667087765,2.645899120829748,hist,binary:logistic,aucpr,-1,0.8532798620767887,7
500,0.2927584056134761,10,0.6777577035493856,0.7216309259686635,7.753532437347309,0.25448749531719606,hist,binary:logistic,aucpr,-1,0.8522703975049022,8
500,0.10256789380481149,10,0.5064000184668911,0.850329179393289,0.02545518706293869,0.011030466680836959,hist,binary:logistic,aucpr,-1,0.8801586905753331,9
500,0.09108102392386803,6,0.5011162342525589,0.8163975297413266,0.014080620889392274,4.722544395822371,hist,binary:logistic,aucpr,-1,0.7860106148272239,10
500,0.04993566551096476,8,0.8229782218826729,0.7670733010539775,0.013145370370658051,1.8550163063847656,hist,binary:logistic,aucpr,-1,0.8534122349416133,11
500,0.0802426860082017,9,0.5099932114503456,0.6905039182396285,0.03438359192491823,3.4018600099746377,hist,binary:logistic,aucpr,-1,0.8379413151235011,12
500,0.01105906112426117,10,0.7967921354679829,0.6122442906510261,0.0016244889145275567,4.714740688411128,hist,binary:logistic,aucpr,-1,0.8090564039122847,13
500,0.10757370569397966,7,0.6067909039038115,0.9949953784689431,0.04685402595369367,3.5373410099389573,hist,binary:logistic,aucpr,-1,0.832183965686182,14
500,0.04589472637078063,9,0.6920941281084033,0.8175567214739591,0.5685523042436202,2.174631473018778,hist,binary:logistic,aucpr,-1,0.8604327396164575,15
500,0.03616859377360417,9,0.6733140409205399,0.8333430959154396,0.7546434421328012,1.1798660402118464,hist,binary:logistic,aucpr,-1,0.8587408820465365,16
500,0.17058535689988624,7,0.5481766242018734,0.7838848222414136,0.43867644895346153,1.9924630284014144,hist,binary:logistic,aucpr,-1,0.8503133589038963,17
500,0.014793633139264128,9,0.6520168450226216,0.8648019430279166,1.1161309656648093,0.8181685815893608,hist,binary:logistic,aucpr,-1,0.8037047305407248,18
500,0.06921301945716278,6,0.5566824151948085,0.9820944262791681,0.003806008847999954,4.056697250557177,hist,binary:logistic,aucpr,-1,0.7904962255572603,19
500,0.03897457704986037,10,0.8048738996664392,0.7364261011999057,0.2155514932222155,1.8621749659036189,hist,binary:logistic,aucpr,-1,0.8727629366865823,20
500,0.04008831636314641,10,0.8498064134762913,0.7453572871323996,0.279121361813501,2.248637356406688,hist,binary:logistic,aucpr,-1,0.8643317631500211,21
500,0.03509450930208173,10,0.8526252790486382,0.7209091194320074,0.2433085295264128,3.019758074032602,hist,binary:logistic,aucpr,-1,0.852856186586441,22
500,0.018729521502111542,10,0.8862722045377723,0.7512926534846472,0.055050987937901794,1.6453584022364458,hist,binary:logistic,aucpr,-1,0.8525814249483608,23
500,0.034048301274842756,8,0.7806764216465594,0.6820248529208497,0.15612030596125004,0.7067788206648362,hist,binary:logistic,aucpr,-1,0.8348433180059973,24
500,0.1250087308422039,10,0.949870940762498,0.8040732558476087,0.06689197355760318,0.07117898590147576,hist,binary:logistic,aucpr,-1,0.8949500287785943,25
500,0.1190047960026447,9,0.9537500293035495,0.855457572161357,0.06846431921563902,0.014596596828606121,hist,binary:logistic,aucpr,-1,0.89533486367516,26
500,0.12359692070779037,9,0.9658046365192543,0.8682863181013631,0.029336560928073466,0.1543444759584831,hist,binary:logistic,aucpr,-1,0.8965404413232696,27
500,0.1338216618408951,7,0.9824632454220062,0.9148223965247869,0.0762495846443151,0.5113103469966758,hist,binary:logistic,aucpr,-1,0.8764574665969906,28
500,0.21065548465210523,8,0.943764635772236,0.9567296794648973,0.006940442448445316,0.3772884416275115,hist,binary:logistic,aucpr,-1,0.8834380026442075,29
