feature,gain
C8,209.68153381347656
R_emaildomain,170.07911682128906
C14,97.43241882324219
C3,91.67933654785156
id_23,76.15877532958984
D3,62.344852447509766
C1,55.58243942260742
id_12,54.61525344848633
card3,50.07564926147461
C5,41.634403228759766
ProductCD,41.4386100769043
M4,40.302513122558594
id_36,35.624855041503906
C4,35.41023254394531
card6,33.14516830444336
id_32,30.1125545501709
id_17,28.02857780456543
C12,24.834138870239258
D2,24.706279754638672
id_21,24.607027053833008
C11,21.36385726928711
C13,21.272037506103516
C6,21.118349075317383
M5,20.11130714416504
C9,19.955705642700195
addr2,19.50845718383789
V_PCA_2,18.824462890625
D1,18.66596221923828
id_07,18.34441566467285
C2,18.148897171020508
id_09,18.0158748626709
id_25,17.90166664123535
id_11,16.739116668701172
D8,15.505922317504883
id_08,15.161842346191406
D10,14.631514549255371
D15,14.619807243347168
C7,14.487116813659668
M6,14.169142723083496
D4,14.006303787231445
C10,13.938008308410645
V_PCA_9,13.839221000671387
id_30,13.590065002441406
D11,13.49386215209961
id_01,12.772575378417969
id_10,12.68247127532959
D13,12.58210563659668
V_PCA_3,12.475944519042969
card5,12.423542022705078
id_03,12.319588661193848
